StockTickerId,OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate
ATVI,77.27,76.77,78.50,77.36,10/7/2021 12:00:00 AM
PFE,42.52,42.21,42.96,42.74,10/7/2021 12:00:00 AM
GOOG,138.86,138.56,140.15,139.19,10/7/2021 12:00:00 AM
F,14.34,14.30,14.95,14.89,10/7/2021 12:00:00 AM
F,14.92,14.85,15.49,15.12,10/8/2021 12:00:00 AM
GOOG,139.91,139.43,140.32,140.06,10/8/2021 12:00:00 AM
PFE,42.73,42.34,42.91,42.45,10/8/2021 12:00:00 AM
ATVI,77.76,77.25,78.36,77.61,10/8/2021 12:00:00 AM
ATVI,77.74,76.26,77.76,76.32,10/11/2021 12:00:00 AM
PFE,42.45,42.01,42.62,42.06,10/11/2021 12:00:00 AM
GOOG,139.80,138.81,140.76,138.85,10/11/2021 12:00:00 AM
F,15.20,14.97,15.36,15.09,10/11/2021 12:00:00 AM
F,15.11,15.01,15.68,15.64,10/12/2021 12:00:00 AM
GOOG,139.64,136.25,139.69,136.71,10/12/2021 12:00:00 AM
PFE,42.16,41.66,42.21,41.85,10/12/2021 12:00:00 AM
ATVI,76.45,74.59,76.54,74.92,10/12/2021 12:00:00 AM
ATVI,75.34,75.02,76.10,75.25,10/13/2021 12:00:00 AM
PFE,41.75,40.94,41.91,41.42,10/13/2021 12:00:00 AM
GOOG,137.75,136.98,138.55,137.90,10/13/2021 12:00:00 AM
F,15.59,15.27,15.69,15.51,10/13/2021 12:00:00 AM
F,15.62,15.37,15.62,15.45,10/14/2021 12:00:00 AM
GOOG,139.95,139.34,141.65,141.41,10/14/2021 12:00:00 AM
PFE,41.56,41.52,41.96,41.67,10/14/2021 12:00:00 AM
ATVI,75.94,75.57,77.16,76.11,10/14/2021 12:00:00 AM
ATVI,76.50,76.19,77.07,76.40,10/15/2021 12:00:00 AM
PFE,41.90,41.38,42.03,41.49,10/15/2021 12:00:00 AM
GOOG,142.20,141.06,142.20,141.68,10/15/2021 12:00:00 AM
F,15.54,15.54,16.03,15.70,10/15/2021 12:00:00 AM
F,15.57,15.48,15.65,15.56,10/18/2021 12:00:00 AM
GOOG,141.21,141.21,143.00,142.96,10/18/2021 12:00:00 AM
PFE,41.45,41.04,41.70,41.32,10/18/2021 12:00:00 AM
ATVI,76.14,75.24,76.72,76.40,10/18/2021 12:00:00 AM
ATVI,76.77,75.95,77.20,77.18,10/19/2021 12:00:00 AM
PFE,41.60,41.54,42.20,42.09,10/19/2021 12:00:00 AM
GOOG,143.29,143.10,144.11,143.82,10/19/2021 12:00:00 AM
F,15.60,15.37,15.69,15.42,10/19/2021 12:00:00 AM
F,15.43,15.37,16.16,16.04,10/20/2021 12:00:00 AM
GOOG,144.22,141.91,144.25,142.41,10/20/2021 12:00:00 AM
PFE,42.12,42.10,43.11,42.80,10/20/2021 12:00:00 AM
ATVI,77.52,77.08,78.08,78.08,10/20/2021 12:00:00 AM
ATVI,77.72,76.72,78.74,78.70,10/21/2021 12:00:00 AM
PFE,43.05,42.43,43.09,42.86,10/21/2021 12:00:00 AM
GOOG,142.19,141.64,142.85,142.78,10/21/2021 12:00:00 AM
F,16.16,16.13,16.70,16.55,10/21/2021 12:00:00 AM
F,16.42,16.23,16.54,16.28,10/22/2021 12:00:00 AM
GOOG,140.35,137.17,141.56,138.63,10/22/2021 12:00:00 AM
PFE,42.82,42.63,43.19,43.16,10/22/2021 12:00:00 AM
ATVI,78.62,78.62,80.92,79.27,10/22/2021 12:00:00 AM
ATVI,79.43,79.39,81.51,81.19,10/25/2021 12:00:00 AM
PFE,43.20,42.57,43.24,43.15,10/25/2021 12:00:00 AM
GOOG,138.81,136.75,139.21,138.77,10/25/2021 12:00:00 AM
F,16.40,15.81,16.50,16.00,10/25/2021 12:00:00 AM
F,16.09,15.70,16.22,15.94,10/26/2021 12:00:00 AM
GOOG,140.61,139.01,140.84,139.67,10/26/2021 12:00:00 AM
PFE,43.33,42.92,43.76,43.56,10/26/2021 12:00:00 AM
ATVI,81.81,80.42,82.34,80.76,10/26/2021 12:00:00 AM
ATVI,80.22,78.55,80.34,78.65,10/27/2021 12:00:00 AM
PFE,43.46,42.68,43.56,42.97,10/27/2021 12:00:00 AM
GOOG,139.90,139.90,149.12,146.43,10/27/2021 12:00:00 AM
F,15.79,15.50,15.92,15.51,10/27/2021 12:00:00 AM
F,16.86,16.71,17.58,16.86,10/28/2021 12:00:00 AM
GOOG,147.30,144.76,147.42,146.13,10/28/2021 12:00:00 AM
PFE,42.95,42.94,43.67,43.18,10/28/2021 12:00:00 AM
ATVI,78.60,76.65,78.96,78.88,10/28/2021 12:00:00 AM
ATVI,78.93,77.73,79.37,78.19,10/29/2021 12:00:00 AM
PFE,43.09,42.85,43.83,43.74,10/29/2021 12:00:00 AM
GOOG,145.52,145.17,148.61,148.27,10/29/2021 12:00:00 AM
F,16.86,16.55,17.36,17.08,10/29/2021 12:00:00 AM
F,17.50,17.07,17.97,17.95,11/1/2021 12:00:00 AM
GOOG,148.16,143.58,148.40,143.77,11/1/2021 12:00:00 AM
PFE,44.14,43.44,44.29,43.64,11/1/2021 12:00:00 AM
ATVI,78.94,78.54,80.01,79.35,11/1/2021 12:00:00 AM
ATVI,79.29,77.03,79.37,77.67,11/2/2021 12:00:00 AM
PFE,45.08,43.05,46.04,45.45,11/2/2021 12:00:00 AM
GOOG,144.81,144.64,146.92,145.86,11/2/2021 12:00:00 AM
F,18.15,17.73,18.19,18.01,11/2/2021 12:00:00 AM
F,17.92,17.88,18.83,18.63,11/3/2021 12:00:00 AM
GOOG,146.28,145.05,146.91,146.79,11/3/2021 12:00:00 AM
PFE,45.52,44.48,45.99,44.82,11/3/2021 12:00:00 AM
ATVI,66.25,64.55,67.19,66.75,11/3/2021 12:00:00 AM
ATVI,67.47,66.65,68.74,68.23,11/4/2021 12:00:00 AM
PFE,44.29,43.30,44.47,43.85,11/4/2021 12:00:00 AM
GOOG,147.20,146.63,149.95,148.68,11/4/2021 12:00:00 AM
F,18.92,18.72,19.50,19.42,11/4/2021 12:00:00 AM
F,19.71,18.99,19.72,19.29,11/5/2021 12:00:00 AM
GOOG,149.35,148.65,150.57,149.24,11/5/2021 12:00:00 AM
PFE,48.09,46.55,48.81,48.61,11/5/2021 12:00:00 AM
ATVI,68.57,66.92,68.78,67.83,11/5/2021 12:00:00 AM
ATVI,68.43,66.62,68.43,66.82,11/8/2021 12:00:00 AM
PFE,48.61,47.60,48.78,48.33,11/8/2021 12:00:00 AM
GOOG,150.00,149.12,151.03,149.35,11/8/2021 12:00:00 AM
F,19.40,19.24,20.42,20.15,11/8/2021 12:00:00 AM
F,20.50,19.41,20.51,20.12,11/9/2021 12:00:00 AM
GOOG,149.75,147.51,150.38,149.25,11/9/2021 12:00:00 AM
PFE,48.33,47.15,48.38,47.30,11/9/2021 12:00:00 AM
ATVI,66.99,66.53,67.55,67.10,11/9/2021 12:00:00 AM
ATVI,66.73,66.52,67.45,66.66,11/10/2021 12:00:00 AM
PFE,47.40,47.40,49.21,49.02,11/10/2021 12:00:00 AM
GOOG,148.01,145.32,148.70,146.63,11/10/2021 12:00:00 AM
F,19.88,19.06,20.47,19.36,11/10/2021 12:00:00 AM
F,19.64,19.26,19.84,19.55,11/11/2021 12:00:00 AM
GOOG,147.11,146.69,148.50,146.75,11/11/2021 12:00:00 AM
PFE,49.23,48.73,50.50,50.18,11/11/2021 12:00:00 AM
ATVI,67.25,66.02,67.53,67.50,11/11/2021 12:00:00 AM
ATVI,67.72,67.34,70.04,69.69,11/12/2021 12:00:00 AM
PFE,50.42,49.57,50.49,49.73,11/12/2021 12:00:00 AM
GOOG,147.83,146.45,149.86,149.65,11/12/2021 12:00:00 AM
F,19.38,19.21,19.62,19.50,11/12/2021 12:00:00 AM
F,19.46,19.14,19.95,19.86,11/15/2021 12:00:00 AM
GOOG,150.00,148.65,150.48,149.39,11/15/2021 12:00:00 AM
PFE,49.73,49.37,50.10,49.65,11/15/2021 12:00:00 AM
ATVI,69.31,68.14,70.68,70.43,11/15/2021 12:00:00 AM
ATVI,70.55,65.46,72.14,66.14,11/16/2021 12:00:00 AM
PFE,49.47,48.89,50.16,49.60,11/16/2021 12:00:00 AM
GOOG,149.17,148.35,149.83,149.08,11/16/2021 12:00:00 AM
F,19.90,19.53,20.06,19.79,11/16/2021 12:00:00 AM
F,19.74,19.44,20.01,19.96,11/17/2021 12:00:00 AM
GOOG,149.23,148.56,149.63,149.06,11/17/2021 12:00:00 AM
PFE,49.94,49.69,51.09,50.87,11/17/2021 12:00:00 AM
ATVI,65.53,63.50,65.64,64.20,11/17/2021 12:00:00 AM
ATVI,63.60,60.90,64.05,62.67,11/18/2021 12:00:00 AM
PFE,51.10,50.61,51.71,51.41,11/18/2021 12:00:00 AM
GOOG,149.15,149.00,151.61,150.71,11/18/2021 12:00:00 AM
F,20.16,19.36,20.26,19.56,11/18/2021 12:00:00 AM
F,19.64,19.24,19.67,19.39,11/19/2021 12:00:00 AM
GOOG,151.00,149.89,151.85,149.95,11/19/2021 12:00:00 AM
PFE,51.96,50.68,52.84,50.80,11/19/2021 12:00:00 AM
ATVI,63.75,62.17,64.09,62.38,11/19/2021 12:00:00 AM
ATVI,60.93,59.77,62.41,62.20,11/22/2021 12:00:00 AM
PFE,50.95,50.38,51.47,51.20,11/22/2021 12:00:00 AM
GOOG,150.14,147.01,150.74,147.08,11/22/2021 12:00:00 AM
F,19.39,19.30,20.79,20.48,11/22/2021 12:00:00 AM
F,20.43,19.97,20.53,20.20,11/23/2021 12:00:00 AM
GOOG,147.11,144.89,147.69,146.76,11/23/2021 12:00:00 AM
PFE,50.58,50.30,51.45,51.08,11/23/2021 12:00:00 AM
ATVI,61.85,61.33,62.92,61.77,11/23/2021 12:00:00 AM
ATVI,61.84,60.75,61.84,60.91,11/24/2021 12:00:00 AM
PFE,51.18,50.70,51.33,50.89,11/24/2021 12:00:00 AM
GOOG,146.35,145.20,147.00,146.72,11/24/2021 12:00:00 AM
F,19.97,19.78,20.34,20.25,11/24/2021 12:00:00 AM
F,19.66,19.47,19.84,19.75,11/26/2021 12:00:00 AM
GOOG,145.02,142.49,145.30,142.81,11/26/2021 12:00:00 AM
PFE,54.03,53.25,54.94,54.00,11/26/2021 12:00:00 AM
ATVI,61.28,60.18,61.68,60.62,11/26/2021 12:00:00 AM
