OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate,StockTickerId,Volume
147.64,144.84,150.64,149.84,9/28/2022 12:00:00 AM,AAPL,146691387
74.86,74.42,75.72,75.39,9/28/2022 12:00:00 AM,ATVI,7529318
1546.53,1534.00,1578.21,1566.60,9/28/2022 12:00:00 AM,CMG,261160
11.91,11.76,12.24,12.18,9/28/2022 12:00:00 AM,F,72701565
98.02,97.80,101.40,100.74,9/28/2022 12:00:00 AM,GOOG,24616999
44.67,44.22,44.81,44.43,9/28/2022 12:00:00 AM,PFE,16532559
283.08,277.57,289.00,287.81,9/28/2022 12:00:00 AM,TSLA,54664809
146.10,140.68,146.72,142.48,9/29/2022 12:00:00 AM,AAPL,128138237
75.19,74.33,75.36,74.87,9/29/2022 12:00:00 AM,ATVI,5977605
1546.63,1534.33,1565.02,1543.35,9/29/2022 12:00:00 AM,CMG,239917
11.85,11.36,11.88,11.47,9/29/2022 12:00:00 AM,F,84534890
99.30,96.52,99.30,98.09,9/29/2022 12:00:00 AM,GOOG,21921520
44.41,43.95,44.62,44.16,9/29/2022 12:00:00 AM,PFE,13559863
282.76,265.78,283.65,268.21,9/29/2022 12:00:00 AM,TSLA,77620642
141.28,138.00,143.10,138.20,9/30/2022 12:00:00 AM,AAPL,124925274
74.90,74.22,75.30,74.34,9/30/2022 12:00:00 AM,ATVI,9498212
1535.00,1501.07,1544.85,1502.76,9/30/2022 12:00:00 AM,CMG,283796
11.39,11.19,11.53,11.20,9/30/2022 12:00:00 AM,F,71688194
97.73,96.03,99.49,96.15,9/30/2022 12:00:00 AM,GOOG,26277832
44.17,43.73,44.60,43.76,9/30/2022 12:00:00 AM,PFE,22962293
266.14,262.47,275.57,265.25,9/30/2022 12:00:00 AM,TSLA,67726598
138.21,137.69,143.07,142.45,10/3/2022 12:00:00 AM,AAPL,114311663
74.41,74.11,74.80,74.36,10/3/2022 12:00:00 AM,ATVI,4561942
1514.00,1468.16,1517.99,1504.70,10/3/2022 12:00:00 AM,CMG,331295
11.38,11.13,11.59,11.47,10/3/2022 12:00:00 AM,F,66198347
97.22,97.02,99.97,99.30,10/3/2022 12:00:00 AM,GOOG,24840028
44.07,43.49,44.28,44.14,10/3/2022 12:00:00 AM,PFE,22834282
254.50,241.01,255.16,242.40,10/3/2022 12:00:00 AM,TSLA,98363541
145.03,144.26,146.22,146.10,10/4/2022 12:00:00 AM,AAPL,87830064
74.71,74.56,75.38,75.00,10/4/2022 12:00:00 AM,ATVI,9470339
1533.37,1524.20,1558.95,1536.15,10/4/2022 12:00:00 AM,CMG,250171
11.96,11.94,12.37,12.36,10/4/2022 12:00:00 AM,F,87629236
101.04,101.04,102.72,102.41,10/4/2022 12:00:00 AM,GOOG,22580931
44.25,44.09,44.84,44.46,10/4/2022 12:00:00 AM,PFE,28198847
250.52,242.01,257.50,249.44,10/4/2022 12:00:00 AM,TSLA,109578535
144.07,143.01,147.38,146.40,10/5/2022 12:00:00 AM,AAPL,79470968
74.84,73.83,75.00,74.11,10/5/2022 12:00:00 AM,ATVI,7543692
1514.79,1495.86,1543.48,1519.78,10/5/2022 12:00:00 AM,CMG,237520
12.38,12.13,12.56,12.51,10/5/2022 12:00:00 AM,F,87919089
100.69,99.74,102.74,102.22,10/5/2022 12:00:00 AM,GOOG,18475515
44.12,43.68,44.37,44.12,10/5/2022 12:00:00 AM,PFE,15673442
245.01,233.27,246.67,240.81,10/5/2022 12:00:00 AM,TSLA,86982673
145.81,145.22,147.54,145.43,10/6/2022 12:00:00 AM,AAPL,68402169
74.09,73.64,74.39,73.83,10/6/2022 12:00:00 AM,ATVI,5820411
1515.81,1506.01,1533.91,1506.99,10/6/2022 12:00:00 AM,CMG,247253
12.36,12.19,12.63,12.36,10/6/2022 12:00:00 AM,F,64531939
